里,兄弟姊妹間暴力,老人保護,兒少保護,其他家虐,親密關係,各里總案件數,女,男,小於18歲,18到65歲,大於65歲,兄弟姊妹間暴力Rank,老人保護Rank,兒少保護Rank,其他家虐Rank,親密關係Rank,低收Rank,障礙Rank
臺北市萬華區和德里,4,3,8,11,39,65,75.38%,24.62%,15%,71%,14%,99.00%,79%,100%,86%,100%,100%,99%
臺北市士林區社新里,3,2,5,16,25,51,64.71%,35.29%,10%,78%,12%,87.00%,50%,94%,98%,99%,91%,0%
臺北市文山區明義里,1,2,3,19,25,50,82.00%,18.00%,6%,86%,8%,0.00%,50%,73%,100%,99%,100%,100%
臺北市內湖區五分里,3,1,6,15,24,49,75.51%,24.49%,18%,78%,4%,87.00%,0%,97%,98%,98%,97%,96%
臺北市文山區順興里,1,5,5,16,20,47,55.32%,42.55%,11%,70%,19%,0.00%,95%,94%,98%,94%,54%,0%
臺北市大同區鄰江里,3,7,2,16,19,47,68.09%,31.91%,9%,72%,19%,87.00%,99%,43%,98%,93%,94%,0%
臺北市中山區朱園里,,1,,13,30,44,70.45%,29.55%,9%,80%,11%,,0%,,94%,100%,0%,0%
臺北市北投區溫泉里,3,1,2,21,16,43,67.44%,32.56%,7%,84%,9%,87.00%,0%,43%,100%,86%,0%,1%
臺北市南港區成福里,1,1,1,10,29,42,83.33%,16.67%,2%,88%,10%,0.00%,0%,0%,82%,100%,71%,1%
臺北市北投區永和里,1,6,5,11,18,41,73.17%,26.83%,20%,73%,7%,0.00%,97%,94%,86%,91%,34%,63%
臺北市大同區雙連里,1,1,6,11,22,41,65.85%,31.71%,12%,63%,24%,0.00%,0%,97%,86%,98%,78%,0%
臺北市士林區福順里,2,1,6,13,19,41,48.78%,51.22%,12%,63%,24%,70.00%,0%,97%,94%,93%,97%,81%
臺北市士林區福華里,3,6,4,9,19,41,63.41%,31.71%,24%,61%,15%,87.00%,97%,89%,76%,93%,78%,1%
臺北市松山區吉祥里,1,4,1,13,20,39,69.23%,28.21%,8%,79%,13%,0.00%,91%,0%,94%,94%,0%,0%
臺北市中正區忠勤里,,6,1,13,19,39,69.23%,30.77%,15%,64%,21%,,97%,0%,94%,93%,97%,1%
臺北市士林區永倫里,1,2,2,13,21,39,61.54%,38.46%,10%,74%,15%,0.00%,50%,43%,94%,96%,91%,0%
臺北市松山區安平里,1,2,4,11,20,38,65.79%,34.21%,8%,82%,11%,0.00%,50%,89%,86%,94%,78%,1%
臺北市北投區關渡里,2,,2,19,15,38,71.05%,28.95%,21%,71%,8%,70.00%,,43%,100%,81%,86%,81%
臺北市北投區清江里,1,1,3,12,21,38,68.42%,28.95%,13%,79%,8%,0.00%,0%,73%,91%,96%,99%,93%
臺北市內湖區港墘里,,,1,11,26,38,60.53%,39.47%,13%,82%,5%,,,0%,86%,99%,0%,0%
臺北市士林區天玉里,,,7,6,25,38,68.42%,28.95%,3%,61%,37%,,,100%,50%,99%,71%,0%
臺北市南港區九如里,4,3,2,15,13,37,67.57%,32.43%,19%,65%,16%,99.00%,79%,43%,98%,70%,0%,0%
臺北市文山區試院里,1,7,3,10,15,36,58.33%,38.89%,8%,67%,25%,0.00%,99%,73%,82%,81%,71%,0%
臺北市內湖區樂康里,,1,2,12,21,36,63.89%,36.11%,0%,81%,19%,,0%,43%,91%,96%,86%,0%
臺北市士林區後港里,2,3,1,13,17,36,72.22%,27.78%,8%,78%,14%,70.00%,79%,0%,94%,88%,86%,63%
臺北市松山區慈祐里,,,3,9,23,35,65.71%,31.43%,6%,89%,6%,,,73%,76%,98%,54%,0%
臺北市北投區中心里,1,1,1,11,21,35,74.29%,25.71%,9%,80%,11%,0.00%,0%,0%,86%,96%,54%,1%
臺北市大安區龍生里,,1,3,8,23,35,62.86%,37.14%,20%,74%,6%,,0%,73%,70%,98%,54%,0%
臺北市士林區芝山里,,3,1,13,18,35,82.86%,17.14%,6%,91%,3%,,79%,0%,94%,91%,34%,63%
臺北市松山區復盛里,3,,2,12,17,34,64.71%,32.35%,6%,71%,24%,87.00%,,43%,91%,88%,0%,0%
臺北市松山區莊敬里,1,7,,14,12,34,79.41%,20.59%,12%,79%,9%,0.00%,99%,,97%,64%,78%,0%
臺北市內湖區瑞陽里,4,4,2,8,16,34,82.35%,14.71%,15%,76%,9%,99.00%,91%,43%,70%,86%,54%,1%
