Count,高危機.死亡,TIPVDA,X1.4.5.6,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,家暴因素.不良嗜好.賭博.出入不正當場所,家暴因素.個性.生活習慣不合,家暴因素.其他,家暴因素.子女教養問題,家暴因素.性生活不協調,家暴因素.感情.外遇問題,家暴因素.施用毒品.禁藥或迷幻物品,家暴因素.照顧壓力,家暴因素.疑似或罹患精神疾病,家暴因素.經濟狀況不佳,家暴因素.親屬間相處問題,家暴因素.財務問題,家暴因素.財務支配或借貸問題,家暴因素.酗酒,成人家庭暴力兩造關係,被害人婚姻狀態,暴力型態.性暴力,暴力型態.精神暴力,暴力型態.經濟暴力,暴力型態.肢體暴力,使用武器,自殺意念,自殺行為,受暴持續總月數,求助時間差.小時,MAIMED,AGE,OCCUPATION,EDUCATION,district,town,ACTIONID,group
3,1,14,4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,60,11,2,41,,6,內湖區,金龍里,DI00406008,2
3,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,12,9,1,26,不詳,3,士林區,葫東里,DVP0166020,2
3,0,6,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,36,13,2,50,無工作,6,士林區,天祿里,DV00607159,2
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,12,10,1,35,不詳,5,士林區,葫東里,DVP0191092,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,12,4,1,65,家庭管理,4,大同區,斯文里,DVP0206061,2
5,1,12,3,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,60,6,1,37,服務業,5,士林區,福順里,DV00599541,2
3,0,6,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,6,14,3,25,不詳,9,南港區,聯成里,DV00704174,2
3,0,6,2,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,30,26,1,48,專門職業,7,內湖區,清白里,DVP0192026,2
3,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,14,1,30,不詳,9,萬華區,興德里,DV00720704,2
3,1,9,4,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,6,10,1,46,家庭管理,3,大安區,建安里,DV00666134,2
