"","X","town","avg_predict","X.1","X.2","fivequintiles"
"311",311,"文北里",1.66097868946082,NA,NA,"5"
"45",45,"東榮里",1.65195567267422,NA,NA,"5"
"299",299,"萬福里",1.60215833333333,NA,NA,"5"
"47",47,"東勢里",1.60210714273543,NA,NA,"5"
"223",223,"南芳里",1.58514084428899,NA,NA,"5"
"291",291,"天祿里",1.57670533167875,NA,NA,"5"
"355",355,"興德里",1.55729579556782,NA,NA,"5"
"392",392,"玉成里",1.54159489444154,NA,NA,"5"
"62",62,"福順里",1.51997171676679,NA,NA,"5"
"180",180,"聯成里",1.49678520839583,NA,NA,"5"
"155",155,"景行里",1.48020671678913,NA,NA,"5"
"137",137,"金龍里",1.46062192087969,NA,NA,"5"
"309",309,"網溪里",1.45890747042511,NA,NA,"5"
"405",405,"正和里",1.45221987686777,NA,NA,"5"
"290",290,"天和里",1.44717743423181,NA,NA,"5"
"46",46,"東山里",1.44673261904762,NA,NA,"5"
"110",110,"葫東里",1.44331877058222,NA,NA,"5"
"86",86,"公館里",1.43946740758523,NA,NA,"5"
"401",401,"長安里",1.43868300501512,NA,NA,"5"
"61",61,"福林里",1.43779103131637,NA,NA,"5"
"263",263,"廈安里",1.43723057162781,NA,NA,"5"
"237",237,"清白里",1.43578209835404,NA,NA,"5"
"27",27,"大湖里",1.43439306191076,NA,NA,"5"
"443",443,"莊敬里",1.43352864424594,NA,NA,"5"
"196",196,"龍泉里",1.43305223577311,NA,NA,"5"
"140",140,"錦安里",1.43012640692641,NA,NA,"5"
"91",91,"光明里",1.42958095238095,NA,NA,"5"
"440",440,"朱崙里",1.42308241452007,NA,NA,"5"
"341",341,"新營里",1.42243170722071,NA,NA,"5"
"441",441,"朱園里",1.42150239265501,NA,NA,"5"
"43",43,"東門里",1.42113057255782,NA,NA,"5"
"395",395,"圓山里",1.41971938495228,NA,NA,"5"
"390",390,"永明里",1.4181994643728,NA,NA,"5"
"125",125,"建安里",1.41719277312275,NA,NA,"5"
"199",199,"龍圖里",1.41576077923907,NA,NA,"5"
"231",231,"鵬程里",1.41425032589529,NA,NA,"5"
"136",136,"金湖里",1.41359329685789,NA,NA,"5"
"381",381,"永昌里",1.41262641872869,NA,NA,"5"
"71",71,"富錦里",1.41252583540424,NA,NA,"5"
"193",193,"龍光里",1.40514149908335,NA,NA,"5"
"87",87,"古風里",1.40509006132756,NA,NA,"5"
